title,description,objects,objectlinks,lon,lat,bar_lon,bar_lat
"Beekeeping and the Amatrice honey certified","The MOVING reference member state of this VC (Value Chain) is ITALY UNIMOL and UNIPI. The reference MOVING Card ID of this VC is VC 17 IT. The VC does not depend on other SESs, and the main actors are farmers and the municipality of Amatrice. The VC has a positive impact on the SES (e.g. preserving nature and fostering the local economy) thanks to the certification of origin 'Honey of Amatrice? (Miele di Amatrice)."," italy, municipality, amatrice, nature, economy, certification, honey"," http://www.wikidata.org/entity/Q38, http://www.wikidata.org/entity/Q15284, http://www.wikidata.org/entity/Q223427, http://www.wikidata.org/entity/Q7860, http://www.wikidata.org/entity/Q159810, http://www.wikidata.org/entity/Q374814, http://www.wikidata.org/entity/Q10987",13.288372222,42.629380555,12.5,42.5
"Mountain landscape and reference chains","The reference mountain chain of this VC is Central Apennines Lazio region. The reference mountain landscape of this VC is Amatrice. Amatrice is a municipality of the province of Rieti (Lazio region) central Italy. It is located about 65 km North-East of chief city of Rieti and close to the Abruzzo region. It is considered as the centre of the Agri-food system at the National park of Gran Sasso e Monti della Laga and one of the nine municipalities of the Montana del Velino community (an association of local municipalities for common policies). From 2015 it is associated to the Club of Borghi più belli d Italia (the most beautiful villages in Italy). In this town was created a well know Italian dish: spaghetti amatriciana.","italy, montana, velino, mountain, lazio, amatrice, municipality, east, rieti, abruzzo, borghi","http://www.wikidata.org/entity/Q38, http://www.wikidata.org/entity/Q1212, http://www.wikidata.org/entity/Q1235462, http://www.wikidata.org/entity/Q8502, http://www.wikidata.org/entity/Q1282, http://www.wikidata.org/entity/Q223427, http://www.wikidata.org/entity/Q15284, http://www.wikidata.org/entity/Q684, http://www.wikidata.org/entity/Q13396, http://www.wikidata.org/entity/Q1284, http://www.wikidata.org/entity/Q99935",12.5,42.5,12.5,42.5
"Geography and population","The size of the area (km2) is 174.4. The minimum altimetry of the LAU (Local Administrative Unit) is 749. The maximum altimetry of the LAU is 2458. The total population (in thousand) is 2.358. The population density (Inhabitants/km2) in the LAU is 13.52. The population change rate of the LAU in the last 10 years (%) has been -10.93%. The overall regional population density (Inhabitants/km2) is 334. The regional population change rate in the last 10 years (%) has been 5.38%.","population density, altimetry, population","https://www.wikidata.org/entity/Q22856, https://www.wikidata.org/entity/Q1309100, https://www.wikidata.org/entity/Q2625603",13.29251070235925,42.62612596450665,12.5,42.5
"Income and gross value added","The average per capita income (EUR/year) [Province] is 19200. The total Gross Value Added (GVA) (EUR million/year) [Province] is 2704.4. The primary sector share of total GVA/year [Province] is 4.77%. The secondary sector share of total GVA/year [Province] is 15.96%. The tertiary sector share of total GVA/year [Province] is 79.27%. The per capita income (EUR/year) [Region] is 33800. The total Gross Value Added (GVA) (EUR million/year) [Region] is 178611.1. The primary sector share of total GVA/year [Region] is 1.06%. The secondary sector share of total GVA/year [Region] is 13.50%. The tertiary sector share of total GVA/year [Region] is 85.44%.","gross value added, tertiary sector of the economy, secondary sector of the economy, primary sector of the economy","https://www.wikidata.org/entity/Q994873, https://www.wikidata.org/entity/Q55638, https://www.wikidata.org/entity/Q55639, https://www.wikidata.org/entity/Q55640",13.29251070235925,42.62612596450665,12.5,42.5
Tourism,"The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 6. The regional (Region) share of total BPs/year is 0.00%. The number of agricultural holdings in the LAU is 181. The nearest settlement with population over 100000 (km) is 85. In this region protected areas are present.","tourism industry",https://www.wikidata.org/entity/Q9323634,13.29251070235925,42.62612596450665,12.5,42.5
Employment,"The primary sector share of total employment/year [Province] is 5.70%. The secondary sector share of total employment/year [Province] is 16.14%. The tertiary sector share of total employment/year [Province] is 78.16%. The primary sector share of total employment/year [Region] is 1.99%. The secondary sector share of total employment/year [Region] is 12.60%. The tertiary sector share of total employment/year [Region] is 85.41%.","employment, tertiary sector of the economy, secondary sector of the economy, primary sector of the economy","https://www.wikidata.org/entity/Q656365, https://www.wikidata.org/entity/Q55638, https://www.wikidata.org/entity/Q55639, https://www.wikidata.org/entity/Q55640",13.29251070235925,42.62612596450665,12.5,42.5
"Interest on this VC","A beekeeping farm that adopts the honey certificate of origin established by the Municipality of Amatrice. Adoption of honey of Amatrice (Mielene di Amatric) certificate designed by the Municipality of Amatrice.","farm, honey, municipality, amatrice, adoption","http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q10987, http://www.wikidata.org/entity/Q15284, http://www.wikidata.org/entity/Q223427, http://www.wikidata.org/entity/Q180472",13.288372222,42.629380555,12.5,42.5
"Key local assets","The Amatrice area, with its woods and organic or integrated agriculture production (due to the ecological constraints of the nature park), is engaged in the high-quality production of organic honey. Honey is also a historical and cultural traditional food in this mountain area. Both of those aspects allowing the VC to be characterised by natural and cultural elements. ","amatrice, food, mountain","http://www.wikidata.org/entity/Q223427, http://www.wikidata.org/entity/Q2095, http://www.wikidata.org/entity/Q8502",13.288372222,42.629380555,12.5,42.5
Challenges,"First, climate change is a significant challenge for honey production (both adverse effects on plants' biological cycles and the bees' ability to resist colder/warmer zones). Second, the honey market is quite competitive, and certification of origin or organic label can be insufficient without an appropriate marketing strategy designed by the farmer and promoter of certificate of origin (in this case, the Municipality of Amatrice). Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional.","honey, amatrice","http://www.wikidata.org/entity/Q10987, http://www.wikidata.org/entity/Q223427",13.288372222,42.629380555,12.5,42.5
Innovation,"The type of innovation of this VC (Value Chain) is unspecified. The innovation consists mainly in adhering to the Miele di Amatrice label, a certification of origin and craftsmanship of production promoted by the municipality of Amatrice. The intent is to allow greater competitiveness of local mountain farms by preserving and promoting a historical local food (the honey) to attract consumers interested in the local cultural tradition on wine and food productions. The innovation is related to the whole VC. The land use systems involved are Cropland and Natural land. The local assets include Natural and cultural.","innovation, amatrice, certification, municipality, mountain, food, honey, tradition, wine","http://www.wikidata.org/entity/Q174165, http://www.wikidata.org/entity/Q223427, http://www.wikidata.org/entity/Q374814, http://www.wikidata.org/entity/Q15284, http://www.wikidata.org/entity/Q8502, http://www.wikidata.org/entity/Q2095, http://www.wikidata.org/entity/Q10987, http://www.wikidata.org/entity/Q82821, http://www.wikidata.org/entity/Q282",13.288372222,42.629380555,12.5,42.5
